"potentialBenefits","recommendationTypeId","learnMoreLink.Name","learnMoreLink.Url","publishedToAdvisor","aprlGuid","automationAvailable","description","publishedToLearn","recommendationControl","recommendationResourceType","longDescription","recommendationImpact","tags","pgVerified","recommendationMetadataState","automationAvailableReal"
"Enhances VM security & privacy",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/disks-enable-private-links-for-import-export-portal","False","70b1d2be-e6c4-b54e-9959-b1b690f9e485","arg","Network access to the VM disk should be set to Disable public access and enable private access","False","Security","Microsoft.Compute/virtualMachines","Recommended changing to ""Disable public access and enable private access"" and creating a Private Endpoint to improve security by restricting direct public access and ensuring connections are made privately, enhancing data protection and minimizing potential external threats.
","Low",,"Verified","Active","arg"
"Secure VMs & applications",,"Learn More","https://learn.microsoft.com/azure/cloud-adoption-framework/ready/landing-zone/design-principles#policy-driven-governance","False","c42343ae-2712-2843-a285-3437eb0b28a1","arg","Ensure that your VMs are compliant with Azure Policies","False","Governance","Microsoft.Compute/virtualMachines","Keeping your virtual machine (VM) secure is crucial for the applications you run. This involves using various Azure services and features to ensure secure access to your VMs and the secure storage of your data, aiming for overall security of your VM and applications.
","Low",,"Verified","Active","arg"
"Enhances data security and integrity",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/disk-encryption-overview","False","f0a97179-133a-6e4f-8a49-8a44da73ffce","no","Enable advanced encryption options for your managed disks","False","Security","Microsoft.Compute/virtualMachines","Azure Disk Storage encrypts data at rest automatically for managed disks, including OS and data disks.
","Medium",,"Verified","Active","none"
"Improves VM performance & health",,"Learn More","https://learn.microsoft.com/azure/azure-monitor/vm/vminsights-overview","False","b72214bb-e879-5f4b-b9cd-642db84f36f4","arg","Enable VM Insights","False","Monitoring and Alerting","Microsoft.Compute/virtualMachines","VM Insights monitors VM and scale set performance, health, running processes, and dependencies. It enhances the predictability of application performance and availability by pinpointing performance bottlenecks and network issues, and it clarifies if problems are related to other dependencies.
","Low",,"Verified","Active","arg"
"Enhanced diagnostics & auditing capability",,"Learn More","https://learn.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings?tabs=portal","False","4a9d8973-6dba-0042-b3aa-07924877ebd5","arg","Configure diagnostic settings for all Azure Virtual Machines","False","Monitoring and Alerting","Microsoft.Compute/virtualMachines","Azure Monitor Metrics automatically receives platform metrics, but platform logs, which offer detailed diagnostics and auditing for resources and their Azure platform, need to be manually routed for collection.
","Low",,"Preview","Active","arg"
"Scheduled updates for VMs",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/maintenance-configurations","False","52ab9e5c-eec0-3148-8bd7-b6dd9e1be870","arg","Use maintenance configurations for the VMs","False","High Availability","Microsoft.Compute/virtualMachines","The maintenance configuration settings let users schedule and manage updates, making sure the updates or interruptions on the VM are performed within a planned timeframe.
","High",,"Verified","Active","arg"
"Ensures full CPU usage for heavy tasks",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/sizes-b-series-burstable","False","3201dba8-d1da-4826-98a4-104066545170","arg","Don't use A or B-Series VMs for production needing constant full CPU performance","False","Scalability","Microsoft.Compute/virtualMachines","A-series VMs are tailored for entry-level workloads like development and testing, including use cases such as development and test servers, low traffic web servers, and small to medium databases.
","High",,"Verified","Active","arg"
"Enhanced performance & cost efficiency",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/disks-types#disk-type-comparison","False","df0ff862-814d-45a3-95e4-4fad5a244ba6","arg","Mission Critical Workloads should be using Premium or Ultra Disks","False","Scalability","Microsoft.Compute/virtualMachines","Azure Premium SSDs provide high-performance, low-latency for IO-intensive VM workloads. Premium SSD v2 offers better performance at a lower cost, with adjustable capacity, throughput, IOPS, ideal for shifting needs, but not as OS Disks.
","High",,"Verified","Active","arg"
"Less maintenance impact",,"Learn More","https://learn.microsoft.com/azure/azure-boost/overview","False","9ab499d8-8844-424d-a2d4-8f53690eb8f8","no","Use Azure Boost VMs for Maintenance sensitive workload","False","High Availability","Microsoft.Compute/virtualMachines","If the workload is Maintenance sensitive, consider using Azure Boost compatible VMs designed to lessen the impact on customers when Azure maintenance activities occur.
","Medium",,"Preview","Active","none"
"Minimize downtime for VMs",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/windows/scheduled-event-service","False","2de8fa5e-14f4-4c4c-857f-1520f87a629f","no","Enable Scheduled Events for Maintenance sensitive workload VMs","False","High Availability","Microsoft.Compute/virtualMachines","If your workload is Maintenance sensitive, enable Scheduled Events. This Azure Metadata Service lets your app prepare for virtual machine maintenance by providing information on upcoming events like reboots, reducing disruptions.
","Medium",,"Preview","Active","none"
"Higher scalability & availability",,"Learn More","https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-design-overview#when-to-use-scale-sets-instead-of-virtual-machines","False","e7495e1c-0c75-0946-b266-b429b5c7f3bf","arg","Deploy VMSS with Flex orchestration mode instead of Uniform","False","Scalability","Microsoft.Compute/virtualMachineScaleSets","Deploying even single instance VMs into a scale set with Flexible orchestration mode future-proofs applications for scaling and availability. This mode guarantees high availability (up to 1000 VMs) by distributing VMs across fault domains in a region or within an Availability Zone.
","Medium",,"Verified","Active","arg"
"Enhances deployment management & upgrades",,"Learn More","https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-health-extension?tabs=rest-api","False","94794d2a-eff0-2345-9b67-6f9349d0a627","arg","Enable VMSS application health monitoring","False","Monitoring and Alerting","Microsoft.Compute/virtualMachineScaleSets","Monitoring application health in Azure Virtual Machine Scale Sets is crucial for deployment management. It supports rolling upgrades such as automatic OS-image upgrades and VM guest patching, leveraging health monitoring for upgrading.
","Medium",,"Verified","Active","arg"
"Boosts app availability by auto-repair",,"Learn More","https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-automatic-instance-repairs#requirements-for-using-automatic-instance-repairs","False","820f4743-1f94-e946-ae0b-45efafd87962","arg","Enable Automatic Repair policy","False","Automation","Microsoft.Compute/virtualMachineScaleSets","Enabling automatic instance repairs in Azure Virtual Machine Scale Sets enhances application availability through a continuous health check and maintenance process.
","High",,"Verified","Active","arg"
"Enhances performance & cost-efficiency",,"Learn More","https://learn.microsoft.com/azure/azure-monitor/autoscale/autoscale-get-started?WT.mc_id=Portal-Microsoft_Azure_Monitoring","False","ee66ff65-9aa3-2345-93c1-25827cf79f44","arg","Configure VMSS Autoscale to custom and configure the scaling metrics","False","Scalability","Microsoft.Compute/virtualMachineScaleSets","Use custom autoscale for VMSS based on metrics and schedules to improve performance and cost effectiveness, adjusting instances as demand changes.
","High",,"Verified","Active","arg"
"Optimizes scaling with ML predictions",,"Learn More","https://learn.microsoft.com/azure/azure-monitor/autoscale/autoscale-predictive","False","3f85a51c-e286-9f44-b4dc-51d00768696c","arg","Enable Predictive autoscale and configure at least for Forecast Only","False","Scalability","Microsoft.Compute/virtualMachineScaleSets","Predictive autoscale utilizes machine learning to efficiently manage and scale Azure Virtual Machine Scale Sets by forecasting CPU load through historical usage analysis, ensuring timely scale-out to meet demand.
","Low",,"Verified","Active","arg"
"Improves scaling, reduces fail attempts",,"Learn More","https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-scale-in-policy","False","b5a63aa0-c58e-244f-b8a6-cbba0560a6db","arg","Disable Force strictly even balance across zones to avoid scale in and out fail attempts","False","High Availability","Microsoft.Compute/virtualMachineScaleSets","Microsoft advises disabling strictly even VM instance distribution across Availability Zones in VMSS to improve scalability and flexibility, noting that uneven distribution may better serve application load demands despite the potential trade-off in resilience.
","High",,"Verified","Active","arg"
"Enhances fault tolerance",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-use-availability-zones#availability-considerations","False","457e1648-8aa2-214d-a854-11a4084ecdc9","arg","Configure Allocation Policy Spreading algorithm to Max Spreading","False","Scalability","Microsoft.Compute/virtualMachineScaleSets","Max spreading distributes VMs across multiple fault domains per zone, potentially more or less than five, enhancing resilience. Static spreading limits VMs to exactly five fault domains. If five distinct domains aren't available, allocation fails.
","Medium",,"Preview","Active","arg"
"Enhances disaster resilience",,"Learn More","https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-use-availability-zones","False","1422c567-782c-7148-ac7c-5fc14cf45adc","arg","Deploy VMSS across availability zones with VMSS Flex","False","High Availability","Microsoft.Compute/virtualMachineScaleSets","When creating VMSS, implement availability zones as a protection measure for your applications and data against the rare event of datacenter failure.
","High",,"Verified","Active","arg"
